circuit;id_route;route;territory;status;lunes;martes;miercoles;jueves;viernes;sabado;domingo
SCAB5;73;RUTA #3 LA PAZ;La Paz;ACTIVO;0;1;0;0;1;0;0
SCAE5;66;RUTA #1 LA PAZ;La Paz;ACTIVO;1;0;0;1;0;0;0
SCAF2;67;RUTA #2 LA PAZ;La Paz;ACTIVO;1;0;0;0;0;0;0
SCAG3;67;RUTA #2 LA PAZ;La Paz;ACTIVO;1;0;0;1;0;0;0
SCAI4;66;RUTA #1 LA PAZ;La Paz;ACTIVO;1;0;0;0;0;0;0
SCAJ4;73;RUTA #3 LA PAZ;La Paz;ACTIVO;0;0;0;0;1;0;0
SCAK3;67;RUTA #2 LA PAZ;La Paz;ACTIVO;0;1;0;0;1;0;0
SCAK4;67;RUTA #2 LA PAZ;La Paz;ACTIVO;0;1;0;0;0;0;0
SCAK5;66;RUTA #1 LA PAZ;La Paz;ACTIVO;0;1;0;0;1;0;0
SCAM4;73;RUTA #3 LA PAZ;La Paz;ACTIVO;0;0;1;0;0;1;0
SCAM5;73;RUTA #3 LA PAZ;La Paz;ACTIVO;1;0;0;1;0;0;0
SCAM6;73;RUTA #3 LA PAZ;La Paz;ACTIVO;1;0;0;0;0;0;0
SCAN4;66;RUTA #1 LA PAZ;La Paz;ACTIVO;0;0;1;0;0;1;0
SCAN5;66;RUTA #1 LA PAZ;La Paz;ACTIVO;0;0;1;0;0;0;0
SCAN6;66;RUTA #1 LA PAZ;La Paz;ACTIVO;0;1;0;0;0;0;0
SCAQ1;78;RUTA #4 LA PAZ;La Paz;ACTIVO;1;0;0;0;0;0;0
SCAQ2;78;RUTA #4 LA PAZ;La Paz;ACTIVO;1;0;0;1;0;0;0
SCAQ3;78;RUTA #4 LA PAZ;La Paz;ACTIVO;0;0;0;1;0;0;0
SCAR1;78;RUTA #4 LA PAZ;La Paz;ACTIVO;0;0;1;0;0;0;0
SCAR2;73;RUTA #3 LA PAZ;La Paz;ACTIVO;0;1;0;0;0;0;0
SCAR3;78;RUTA #4 LA PAZ;La Paz;ACTIVO;0;0;1;0;0;1;0
SCAT10;78;RUTA #4 LA PAZ;La Paz;ACTIVO;0;1;0;0;0;0;0
SCAT7;67;RUTA #2 LA PAZ;La Paz;ACTIVO;0;0;1;0;0;1;0
SCAT8;67;RUTA #2 LA PAZ;La Paz;ACTIVO;0;0;1;0;0;0;0
SCAT9;78;RUTA #4 LA PAZ;La Paz;ACTIVO;0;1;0;0;1;0;0
SCAV1;81;RUTA #5 LA PAZ;La Paz;ACTIVO;0;0;1;0;0;1;0
SCAV2;81;RUTA #5 LA PAZ;La Paz;ACTIVO;0;1;0;1;0;1;0
SCAV3;81;RUTA #5 LA PAZ;La Paz;ACTIVO;1;0;1;0;1;0;0
SCAV4;81;RUTA #5 LA PAZ;La Paz;ACTIVO;0;1;0;0;1;0;0
SCAV5;81;RUTA #5 LA PAZ;La Paz;ACTIVO;1;0;0;1;0;0;0
SCBA4;48;RUTA #1 SAN VICENTE;San Vicente;ACTIVO;0;0;1;0;0;1;0
SCBA5;48;RUTA #1 SAN VICENTE;San Vicente;ACTIVO;0;0;0;1;0;0;0
SCBA6;48;RUTA #1 SAN VICENTE;San Vicente;ACTIVO;1;0;0;1;0;0;0
SCBA7;48;RUTA #1 SAN VICENTE;San Vicente;ACTIVO;1;0;0;0;0;0;0
SCBD3;251;RUTA #4 SAN VICENTE;San Vicente;ACTIVO;0;0;1;0;0;0;0
SCBD4;48;RUTA #1 SAN VICENTE;San Vicente;ACTIVO;0;0;0;0;1;0;0
SCBG3;251;RUTA #4 SAN VICENTE;San Vicente;ACTIVO;1;0;0;1;0;0;0
SCBH10;249;RUTA #3 SAN VICENTE;San Vicente;ACTIVO;0;1;0;1;0;1;0
SCBH11;249;RUTA #3 SAN VICENTE;San Vicente;ACTIVO;1;0;0;1;0;0;0
SCBH12;249;RUTA #3 SAN VICENTE;San Vicente;ACTIVO;0;0;1;0;0;1;0
SCBH8;251;RUTA #4 SAN VICENTE;San Vicente;ACTIVO;0;0;1;0;0;1;0
SCBH9;249;RUTA #3 SAN VICENTE;San Vicente;ACTIVO;1;0;1;0;1;0;0
SCBI5;48;RUTA #1 SAN VICENTE;San Vicente;ACTIVO;0;1;0;0;1;0;0
SCBI6;48;RUTA #1 SAN VICENTE;San Vicente;ACTIVO;0;1;0;0;0;0;0
SCBK1;68;RUTA #2 SAN VICENTE;San Vicente;ACTIVO;0;0;1;0;0;1;0
SCBK2;68;RUTA #2 SAN VICENTE;San Vicente;ACTIVO;0;0;1;0;0;0;0
SCBK5;249;RUTA #3 SAN VICENTE;San Vicente;ACTIVO;0;1;0;0;1;0;0
SCBK6;68;RUTA #2 SAN VICENTE;San Vicente;ACTIVO;1;0;0;1;0;0;0
SCBK7;68;RUTA #2 SAN VICENTE;San Vicente;ACTIVO;0;0;0;0;1;0;0
SCBK8;68;RUTA #2 SAN VICENTE;San Vicente;ACTIVO;0;1;0;0;1;0;0
SCBK9;68;RUTA #2 SAN VICENTE;San Vicente;ACTIVO;0;1;0;0;0;0;0
SCBM3;251;RUTA #4 SAN VICENTE;San Vicente;ACTIVO;0;1;0;0;0;0;0
SCBM4;251;RUTA #4 SAN VICENTE;San Vicente;ACTIVO;0;0;0;0;1;0;0
SCBM5;251;RUTA #4 SAN VICENTE;San Vicente;ACTIVO;1;0;0;0;0;0;0
SCBM6;251;RUTA #4 SAN VICENTE;San Vicente;ACTIVO;0;1;0;0;1;0;0
SCCB5;69;RUTA #1 USULUTAN;Usulutan;ACTIVO;0;1;0;0;0;1;0
SCCB6;199;RUTA #4 USULUTAN;Usulutan;ACTIVO;1;0;0;0;1;0;0
SCCB7;69;RUTA #1 USULUTAN;Usulutan;ACTIVO;0;1;0;1;0;1;0
SCCC1;70;RUTA #2 USULUTAN;Usulutan;ACTIVO;0;0;0;1;0;0;0
SCCD2;204;RUTA #6 USULUTAN;Usulutan;ACTIVO;0;0;1;0;0;0;0
SCCD3;204;RUTA #6 USULUTAN;Usulutan;ACTIVO;1;0;1;0;1;0;0
SCCE4;214;RUTA #7 USULUTAN;Usulutan;ACTIVO;0;0;0;1;0;0;0
SCCE6;199;RUTA #4 USULUTAN;Usulutan;ACTIVO;0;1;0;0;0;1;0
SCCF3;204;RUTA #6 USULUTAN;Usulutan;ACTIVO;0;0;0;0;1;0;0
SCCG4;199;RUTA #4 USULUTAN;Usulutan;ACTIVO;0;1;0;1;0;1;0
