circuit;epin_count;dms_count;departments;sample_point
SCCW0000;409;403;USULUTAN;TIENDA MIRIAM
SCCW12;187;177;USULUTAN;FARMACIA GUADALUPE
SCBH0000;145;142;SAN VICENTE;BAZAR LARIN
SCCH16;130;126;USULUTAN;LIBRERIA Y VARIEDADES JEFFERSON
SCBE3;113;108;SAN VICENTE;TIEND CRISTINA
SCCH18;76;75;USULUTAN;CELULAR TIME
SCCH20;70;68;USULUTAN;CIBER OVIGON
SCAV41;68;63;LA PAZ | SAN VICENTE;TIENDA BENAVIDES
SCBH23;68;64;SAN VICENTE | USULUTAN;UNIDAD DE SALUD
SCAV42;53;49;LA PAZ;TIENDA FAUSTINO
SCCW11;27;26;USULUTAN;LEGALIZADO SEGUN BTS
SBBO0000;19;19;SAN SALVADOR;TIENDA PONCE
SCAV45;14;14;LA PAZ;CIBER RACING
SABJ0000;12;12;SANTA ANA;VENTA DE SALDO CAÑENGUEZ
SCCG63;12;11;USULUTAN;SIN NOMBRE
SCCH17;12;12;USULUTAN;TIENDA GUADALUPE
SCCW91;12;12;USULUTAN;RESTAURANTE
SBAK0000;10;10;LA LIBERTAD;VENTA DE RECARGAS
SCCG61;10;9;USULUTAN;CASA PARTICULAR
SCCH41;10;10;USULUTAN;TIENDA EL MOLINO
SCDQ0000;10;10;SAN MIGUEL;TIENDA ERICKA
SCAD2;8;8;LA PAZ;OPERADORA DEL SUR
SCAV44;8;8;LA PAZ;TIENDA EVELYN
SCCH21;7;4;USULUTAN;TIENDA CARLITOS
SCCM22;7;6;USULUTAN;TIENDA STEVEN
SCCU32;7;7;USULUTAN;TIENDA SIN NOMBRE
SAFG0000;6;6;CABAÑAS;TIENDA SIN NOMBRE
SCAA1;6;6;LA PAZ;RAF ZACATECOLUCA
SCAT34;6;6;LA PAZ;RECARGAS KEVIN
SCBH21;6;6;SAN VICENTE;VENTA DE RECARGAS
SACO1;5;5;SONSONATE;ANA RUTH CASTANEDA LEMUS (DUI 03976291-4)K-EPIN
SCBA11;5;5;SAN VICENTE;TIENDA
SCCS51;5;5;USULUTAN;RECARGAS CRUZ
SCFH1;5;5;LA UNION;BAZAR A Y A
SADD1;4;4;CHALATENANGO;ACTIVACIONES MICHELLE
SAEB1;4;4;CUSCATLAN;ROSA EMELINDA HERNANDEZ (DUI 01052367-8)K-EPIN
SCAM22;4;4;LA PAZ;TIENDA REINALDO
SCBH32;4;4;SAN VICENTE;IMPRENTA BELLAS ARTES
SCBH34;4;3;SAN VICENTE;VENTA DE RECARGAS
SCCH12;4;4;USULUTAN;VENTA DE RECARGAS
SCAT32;3;2;LA PAZ;TDA EL NOPAL
SCAT35;3;3;LA PAZ;TDA MARIANITA
SCAT46;3;2;LA PAZ;TIENDA MORENA
SCCG65;3;2;USULUTAN;TIENDA LOLY
SCCS55;3;3;USULUTAN;RECARGAS ALEXIS
SCCW71;3;3;USULUTAN;CIBER START
SAAA0000;2;2;AHUACHAPAN;TIENDA ARLON
SCAE11;2;2;LA PAZ;RECARGAS CECILIA
SCAT37;2;2;LA PAZ;TIENDA RIVERA
SCBA12;2;2;SAN VICENTE;CHALET MARINA
SCBI7;2;2;SAN VICENTE;TIENDA JOSE
SCBJ41;2;2;SAN VICENTE;TIENDA CLAUDIA
SCBJ42;2;2;SAN VICENTE;TIENDA MARIO
SCCA81;2;2;USULUTAN;TIENDA COREAS
SCCG66;2;2;USULUTAN;TIENDA NIETO
SCCV23;2;2;USULUTAN;PUNTO DIAMANTE
SCCW72;2;2;USULUTAN;TIENDA GRISELDA
SCES1;2;2;MORAZAN;TIENDA LALY
BBB152;1;1;SAN SALVADOR;YESENIA SALON
BBM202;1;1;LA PAZ;RECARGAS LINDA
CDA73;1;1;LA PAZ;TIENDA KARLA
CDC42;1;1;USULUTAN;TIENDA CLARO
CDG203;1;1;USULUTAN;COMEDOR MARTA
SCAE13;1;1;LA PAZ;TIENDA JOHANA
SCAE14;1;1;LA PAZ;TIENDA
SCAI1;1;1;LA PAZ;FARMACIA CAMILA 20
SCAM21;1;1;LA PAZ;TIENDA BILHA
SCAM24;1;1;LA PAZ;TIENDA JOSE
SCAT31;1;1;LA PAZ;MARCAS
SCAT33;1;1;LA PAZ;TIENDA SILVIA
SCAV43;1;1;LA PAZ;TIENDA ENMANUEL
SCBF40;1;1;SAN VICENTE;TIENDA VEGA
SCBHD01;1;1;SAN VICENTE;Activaciones Gomez
SCBHD02;1;1;SAN VICENTE;ACTIVACIONES ORELLANA
SCCG62;1;1;USULUTAN;TIENDA LEONEL
SCCH19;1;1;USULUTAN;TIENDA RIVERA
SCCH45;1;1;USULUTAN;TIENDA ALISON
SCCH49;1;1;USULUTAN;RECARGAS ALFARO
SCCM21;1;1;USULUTAN;TIENDA JOSE
SCCS53;1;1;USULUTAN;TIENDA FLOR
SCCW GENUS;1;1;USULUTAN;TIENDA EL MOLINO
